Time,X_actual,Y_actual,Z_actual,X_desired,Y_desired,Z_desired
-588.702182933141,-0.00480773523942464,-0.00118298204974983,-0.148714670645325,0.25,0,-0.43
-7835.95657979599,-0.0048077352394706,-0.00118298204982,-0.148714670645215,0.25,0,-0.429999999173299
-7835.95658885269,-0.00480773523951949,-0.00118298204983192,-0.148714670645455,0.249999999999999,0,-0.429999995039793
-7835.95663410998,-0.00480773524079828,-0.00118298205014078,-0.148714670651799,0.249999999999977,0,-0.429999974372265
-7835.95686001859,-0.00480773527312037,-0.00118298205795782,-0.148714670812108,0.249999999999422,0,-0.429999871034625
-7835.95795711344,-0.00480773598695264,-0.00118298223060381,-0.148714674352537,0.249999999987172,0,-0.42999939217939
-7835.96262715107,-0.00480774686236677,-0.00118298486089753,-0.148714728291762,0.249999999800533,0,-0.429997603201926
-7835.97762419982,-0.00480786215880244,-0.0011830127461082,-0.148715300126857,0.249999997821898,0,-0.429992079815485
-7836.00785201701,-0.00480849933991321,-0.00118316685190987,-0.148718460176398,0.249999986887986,0,-0.429980567398508
-7836.00946714985,-0.00481103072716451,-0.00118377907038909,-0.148731011480389,0.249999943465436,0,-0.429959649098325
-7835.83624579196,-0.00481578426762384,-0.00118492866857969,-0.148754568256605,0.249999861992111,0,-0.429936955364188
-7835.38879039149,-0.00482278187580883,-0.00118662085384087,-0.148789215982249,0.249999742216076,0,-0.42991383635816
-7834.65674054572,-0.00483178168770611,-0.00118879701015409,-0.148833725211781,0.249999588447484,0,-0.429891129881553
-7833.66235974828,-0.0048429764930326,-0.00119150358890796,-0.14888900819072,0.249999397611836,0,-0.429868285315055
-7832.38499765201,-0.00485677122739022,-0.00119483825606895,-0.148957005901839,0.249999163118008,0,-0.429844751293012
-7830.78712605883,-0.00487267407505873,-0.00119868184456589,-0.149035224963185,0.249998893691864,0,-0.42982150181002
-7828.91795335361,-0.00489120478376558,-0.00120315964371422,-0.149126140152298,0.249998580957783,0,-0.429797840904587
-7826.7364954506,-0.00491100224238257,-0.00120794244774266,-0.149222998576407,0.249998248279189,0,-0.429775390599883
-7824.39081553332,-0.00493243959223538,-0.00121312015335455,-0.149327564687181,0.249997889702543,0,-0.429753471481872
-7821.83031595304,-0.00495714601320076,-0.00121908578732434,-0.149447671236079,0.249997478568277,0,-0.429730524829653
-7818.88419508384,-0.00498472817148391,-0.00122574372542119,-0.149581247192765,0.249997022242844,0,-0.429707153802547
-7815.59782830815,-0.00501540313581541,-0.00123314565678868,-0.149729171501763,0.249996518018216,0,-0.429683329229299
-7811.96193679872,-0.00504815168277024,-0.00124104497060299,-0.149886367336791,0.249995983468794,0,-0.429659889474592
-7808.08810366906,-0.00508359042301462,-0.00124958973129985,-0.150055634282057,0.249995409333349,0,-0.429636393089075
-7804.06186514916,-0.0051049641364556,-0.00125474148864068,-0.150157301164061,0.249995065214034,0,-0.429623011362066
265.549129898149,-0.00510496413645569,-0.00125474148864065,-0.150157301164061,0.249995065214034,0,-0.429623011362066
263.307953171137,-0.00514364589446845,-0.00126406173338775,-0.150340495632451,0.249994404845679,0,-0.429598579221728
267.750587469566,-0.00517835273340715,-0.00127242060967048,-0.150503992719442,0.24999373688133,0,-0.429575293562271
267.060311462802,-0.00520943046610717,-0.00127990253986989,-0.150649698012819,0.249993065002079,0,-0.429553093779521
266.462647373228,-0.00523962536601705,-0.001287169306111,-0.150790638300845,0.249992329884389,0,-0.429530004318147
266.194606322343,-0.0052686165776256,-0.00129414396191121,-0.15092538295602,0.249991527917758,0,-0.429506044704198
265.886082405068,-0.00529519374642086,-0.00130053576502808,-0.151048413661811,0.249990685502366,0,-0.429482068986755
265.449018012235,-0.00531893648966909,-0.00130624420457925,-0.151157925788587,0.249989817238072,0,-0.429458467386898
264.984941167923,-0.00534021226283983,-0.00131135816522532,-0.151255742158637,0.249988911592454,0,-0.429434899075172
264.577138702321,-0.00535897667713147,-0.0013158674266246,-0.151341765102219,0.249987969868474,0,-0.429411391936994
264.179864961479,-0.00537537674847881,-0.00131980770678069,-0.151416760294942,0.249986981872327,0,-0.429387699162662
263.806470794386,-0.00538878378389434,-0.00132302832269049,-0.151477938926096,0.249985991693526,0,-0.429364840237849
263.390700278149,-0.00540034180316308,-0.00132580437121552,-0.151530587486996,0.249984906810244,0,-0.429340704358088
263.095398543145,-0.00540909851561768,-0.00132790734870916,-0.151570419819887,0.24998379868765,0,-0.429316931426076
262.715227567126,-0.00541511325299632,-0.00132935170869042,-0.151597753436142,0.249982680092512,0,-0.429293745048254
262.358046880599,-0.00541866732164794,-0.00133020513704235,-0.151613897843429,0.249981501331308,0,-0.429270108263116
262.035121835685,-0.00541961779040748,-0.00133043338715641,-0.15161822123161,0.249980300181443,0,-0.429246785275717
261.740474895474,-0.00541960622412464,-0.00133043061096921,-0.151618169064499,0.249980261050954,0,-0.429246037606999
-210.624364372022,-0.00541960622412505,-0.00133043061096927,-0.151618169064499,0.249980261050954,0,-0.429246037606999
-210.629069748134,-0.00542046199325616,-0.00133063612027871,-0.151622062189631,0.24997902158039,0,-0.429222727116542
-210.703601360804,-0.00542403933586872,-0.0013314950838276,-0.151638300074807,0.249977687411207,0,-0.42919839293854
-210.377943869742,-0.0054300944468408,-0.00133294888421268,-0.151665758218936,0.249976361343588,0,-0.429174917508015
-210.081583472427,-0.00543861330103064,-0.00133499402912977,-0.151704344150821,0.24997501144725,0,-0.429151687349998
-209.780621952546,-0.00545013934490206,-0.00133776078459953,-0.151756472936891,0.24997356946545,0,-0.429127555642334
-209.424693740166,-0.00546419184973397,-0.00134113348997327,-0.15181990926704,0.249972108236706,0,-0.429103764554981
-209.111154334808,-0.00548054044356929,-0.00134505657154704,-0.151893548177375,0.249970641125867,0,-0.429080496912949
-208.809252315387,-0.00549983308399343,-0.00134968515203754,-0.151980224782286,0.249969110770858,0,-0.429056837850326
-208.440818959256,-0.00552153568221028,-0.00135489066714454,-0.152077441640172,0.2499675628348,0,-0.429033496118587
-208.113896148935,-0.00554711776045567,-0.00136102500756296,-0.152191648569371,0.249965902825829,0,-0.429009075356364
-207.638605219578,-0.00557535365591817,-0.00136779358379886,-0.152317218250724,0.249964220457656,0,-0.428984925085818
-207.294345709075,-0.0056059391154802,-0.00137512287570724,-0.152452666267485,0.24996253072105,0,-0.428961234210026
-206.966181280569,-0.00563958165127221,-0.00138318173416689,-0.152600971536567,0.249960794745113,0,-0.428937445151271
-206.562138677727,-0.00567627718046762,-0.00139196832828289,-0.152761927074123,0.249959016743594,0,-0.42891362021467
-206.159455870149,-0.00571620786912415,-0.00140152532029987,-0.152936121627175,0.249957191954764,0,-0.428889699973373
-344.35055772521,-0.00576055210854145,-0.00141213347119782,-0.15312841720566,0.249955274901171,0,-0.428865113385836
-343.759661377228,-0.00580640982224687,-0.00142309795939534,-0.153326010520927,0.249953392621581,0,-0.428841480523683
-343.444236947147,-0.0058561408726731,-0.00143498199465685,-0.153538852206847,0.249951447864776,0,-0.428817559424998
-342.865963146939,-0.00591039944338938,-0.00144794018456415,-0.153769376737932,0.249949423204671,0,-0.428793159346077
-342.240329636359,-0.00596792694265295,-0.00146167023513442,-0.154011878535611,0.249947371306648,0,-0.428768924523337
-341.735094116715,-0.00602969313600817,-0.00147640183440971,-0.154270082505122,0.249945261877664,0,-0.428744497973484
-341.100273424142,-0.00609905883182554,-0.0014929335266734,-0.154557413667011,0.249942993248356,0,-0.428718747776347
-340.160326687516,-0.00617400520898057,-0.00151078050175575,-0.154864762015965,0.249940646108064,0,-0.428692640382445
-339.443087712044,-0.00625348034017807,-0.00152968923024446,-0.155187215497802,0.249938260509106,0,-0.428666629166319
-338.805905527351,-0.00633867851525003,-0.00154994057856834,-0.155528986258514,0.249935807259642,0,-0.428640399481633
-338.042917895963,-0.00643051490793602,-0.00157174785688048,-0.155892937374419,0.249933269791499,0,-0.428613791676337
-337.20768083408,-0.00652896870047179,-0.001595101277255,-0.156278077041674,0.249930659136795,0,-0.428586939523386
-336.382096802571,-0.00663498201922283,-0.00162021876570133,-0.156687071323411,0.249927961359263,0,-0.428559717411672
-335.477381108387,-0.00674940036876654,-0.001647293947006,-0.157121974103672,0.2499251678676,0,-0.428532061696849
-334.513341813584,-0.00687282987247413,-0.00167646240565687,-0.157583706981998,0.24992227796539,0,-0.428503989755513
-398.083059240975,-0.00700428553179778,-0.00170748318314926,-0.15806719239288,0.249919327226677,0,-0.428475860568929
-397.101581894852,-0.00714738775388471,-0.00174120047136283,-0.158584056078643,0.249916249580831,0,-0.428447064696124
-395.863086923629,-0.00729793573376281,-0.00177661404502527,-0.159117455440514,0.249913148769634,0,-0.428418582613634
-394.98299074244,-0.00745821078565612,-0.00181425060749269,-0.15967397753213,0.249909987570531,0,-0.428390064821237
-393.915552779203,-0.00762942373957332,-0.00185438182577478,-0.160255945251803,0.249906755550786,0,-0.428361421551284
-392.787635080397,-0.00781202189197005,-0.00189709802921615,-0.160862796266949,0.249903458744369,0,-0.428332711387361
-391.655841254647,-0.00800754933455529,-0.00194274363383777,-0.161497336409756,0.24990008501627,0,-0.428303834763238
-390.461100664432,-0.00821441191077246,-0.00199092876785553,-0.162152067820454,0.249896676382141,0,-0.428275150652956
-389.398717802177,-0.00843680917499883,-0.00204261080004521,-0.162837648107545,0.249893179861241,0,-0.428246214736912
-388.103930564106,-0.0086716602547364,-0.00209705085198482,-0.163541824102571,0.249889660102927,0,-0.428217561288044
-387.047197164645,-0.0089241346781079,-0.00215542109411992,-0.164277103204876,0.249886056626933,0,-0.428188696238007
-385.712109289721,-0.00919256542502053,-0.00221730517731577,-0.165035224735405,0.249882412474444,0,-0.428159966220192
-384.539402590806,-0.00948074281742005,-0.00228354194720776,-0.165823259946512,0.249878695877774,0,-0.428131120347919
-419.733149897629,-0.00979100994718769,-0.00235462623126949,-0.166643222082729,0.24987490063264,0,-0.428102116877015
-418.286073319148,-0.0101211076037674,-0.00242999392677134,-0.167484825911907,0.249871076390808,0,-0.428073333822893
-417.022991228493,-0.0104763822184658,-0.00251081258777224,-0.168357084222962,0.249867183931931,0,-0.428044472784602
-415.554284645788,-0.0108573446034529,-0.00259713446103333,-0.169255958525061,0.249863243492149,0,-0.428015683953809
-414.153345848185,-0.0112684425892939,-0.00268989239800555,-0.17018613018769,0.249859236660142,0,-0.427986832624147
-412.6354169857,-0.0117139454997426,-0.00278995674943229,-0.171150410031746,0.249855154091012,0,-0.427957855609557
-411.067007513982,-0.0121921571580718,-0.00289684326231284,-0.172138186495518,0.249851042411086,0,-0.42792908220564
-409.675670076046,-0.0127129860207748,-0.00301264210861382,-0.173162130895395,0.24984685056248,0,-0.427900154099237
-408.004447611166,-0.0132826298790162,-0.00313856806232211,-0.174224651795738,0.249842571648229,0,-0.42787103100288
-406.299244602953,-0.0139002407470258,-0.00327424748139254,-0.175314113000547,0.249838254238091,0,-0.42784204471095
-404.801280666505,-0.0145716848319772,-0.00342075831985544,-0.17643071250241,0.249833897829,0,-0.427813186486056
-403.256785877026,-0.0153073708666786,-0.00358010763996685,-0.177579942574913,0.249829481441109,0,-0.427784315075398
-401.571721771321,-0.0161226914947099,-0.00375527876817843,-0.178771093793888,0.249824970593444,0,-0.427755209961729
-422.700930693125,-0.0170258831688999,-0.00394759480488562,-0.179999053079723,0.249820385502355,0,-0.427726008074467
-420.868110406771,-0.0180184983282074,-0.00415687137992904,-0.181248784691088,0.249815780727897,0,-0.427697053999692
-419.246283355342,-0.01913191439976,-0.0043890535103079,-0.182539539916722,0.249811082989286,0,-0.427667886326638
-417.226437936118,-0.0203795438749585,-0.00464604163172315,-0.183862163722394,0.249806322479699,0,-0.427638696980034
-415.351962589937,-0.0217800624318519,-0.0049305674901906,-0.185209836962203,0.249801517602029,0,-0.427609597545506
-413.519945726787,-0.0233764865040832,-0.00524986243120686,-0.18659186950104,0.249796626261399,0,-0.427580334468329
-411.466736713397,-0.0251814466219159,-0.00560450788939264,-0.187983478712892,0.249791722674865,0,-0.427551349696691
-409.74920182901,-0.0272689474817004,-0.00600639224082562,-0.189399399367623,0.249786735038708,0,-0.427522216489432
-407.617782060616,-0.0297062313760342,-0.00646458993527512,-0.190830466251852,0.24978166591466,0,-0.42749295475133
-405.491730857206,-0.0325765878203975,-0.00698928268232708,-0.192259759609675,0.249776529420775,0,-0.427463649040547
-403.428839318868,-0.0359679756619688,-0.0075889008238932,-0.193654689172213,0.249771372987586,0,-0.427434566861598
-401.557123241467,-0.040087000805932,-0.00828835124400856,-0.195001824383919,0.24976613217196,0,-0.427405343363009
-399.319944588962,-0.0451460013868189,-0.00910547687966572,-0.196240539819633,0.249760845275449,0,-0.427376193292928
-412.713195931197,-0.0515249236541323,-0.0100722287300333,-0.197289541975763,0.249755491400374,0,-0.427347000926385
-410.459331297274,-0.0597794074583545,-0.0112224166542479,-0.197990763069702,0.249750081494043,0,-0.427317826381791
-408.21377782151,-0.0709922430428384,-0.0126118776838406,-0.19803870142422,0.249744553462774,0,-0.427288339677772
-405.646596199531,-0.0866220637230274,-0.0142366499208916,-0.196781589833656,0.249739023060835,0,-0.427259158382593
-403.649606569802,-0.110237238060247,-0.0160531373040331,-0.192612420324919,0.249733392814183,0,-0.427229766656295
-401.079443861596,-0.148919773115399,-0.0175051015077685,-0.180902756171494,0.249727701669295,0,-0.427200371258048
-398.706174245318,-0.219480879277191,-0.0155164445494862,-0.144403333022423,0.249721935680895,0,-0.427170901420644
-396.224815647183,-0.340907685910384,0.00768456081136592,-0.00741943182338345,0.249716115775256,0,-0.427141464767743
-393.84196176337,0.336567792212208,-0.103793387574563,0.0248238551839443,0.249710273813632,0,-0.427112218991918
-391.591303527276,0.00473031307190175,-0.373421920250061,0.0869421926429825,0.249704388921288,0,-0.427083055427594
-389.199531031828,0.165894409080689,0.13952067222682,-0.15301715854246,0.249698485570612,0,-0.427054091125717
-386.909897179102,0.129109247527106,0.0706990706214413,-0.194264193107383,0.24969252565389,0,-0.427025136030557
-384.392776997451,0.104011704331848,0.046920828046428,-0.209183418253805,0.24968654108317,0,-0.42699634269086
-392.87370602789,0.0873412021709032,0.035225995809132,-0.217596220192668,0.249680566076802,0,-0.426967868802725
-390.622532533958,0.0755028624053315,0.0282741341298943,-0.223562651511479,0.249674523149615,0,-0.42693934134136
-387.890729299524,0.066674697527756,0.0236758486626789,-0.228399359538434,0.249668377966645,0,-0.426910601983258
-385.027112209902,0.0600121285481119,0.0204916821987558,-0.232555791618877,0.249662280701232,0,-0.426882349237743
-382.947738238053,0.0547166316846282,0.0181188346174636,-0.236408067464008,0.249656093002826,0,-0.426853937532389
-380.080744254906,0.050512118971962,0.0163268268634669,-0.240013293735678,0.249649963270801,0,-0.42682604342816
-378.02764356473,0.0470419208075419,0.0149052955686119,-0.24353071955782,0.249643771508508,0,-0.426798114432457
-375.240310838737,0.0441457796050339,0.0137566171663184,-0.247001968762066,0.249637535731668,0,-0.426770231677031
-372.581024729157,0.0417087160378789,0.0128153178748613,-0.250447976534995,0.249631280454879,0,-0.426742502195985
-370.07246071591,0.0396560155448481,0.0120395919060758,-0.253857145754136,0.249625069733589,0,-0.426715202489522
-367.881975633629,0.0378908322834954,0.0113844511469785,-0.257284858017657,0.24961883218771,0,-0.426688012023988
-365.26289041444,0.0363706970468148,0.0108286510496767,-0.260722671839734,0.249612603914225,0,-0.42666108357271
-362.840018783975,0.0350420788659248,0.0103488574870268,-0.264210217591774,0.249606328476159,0,-0.426634169761269
-367.807375046468,0.0338600741176919,0.00992635330869037,-0.267807215213588,0.249599911913681,0,-0.426606872117569
-364.474896665765,0.0328331216721219,0.00956226745267576,-0.271424750555909,0.249593522971563,0,-0.426579909132625
-362.147667787813,0.0319395285237239,0.00924741611442688,-0.275057437455189,0.249587176525131,0,-0.426553334988909
-359.790012282624,0.0311457556717102,0.00896894608891042,-0.278777090544624,0.249580752553618,0,-0.426526643957964
-356.700201906822,0.0304413397214513,0.00872244626897407,-0.282585501418336,0.249574254340386,0,-0.426499852223498
-353.743671673841,0.0298363097612523,0.00851085428577393,-0.286357040359196,0.249567897753049,0,-0.426473842022723
-351.954024976919,0.0292976404253774,0.00832220628508473,-0.290230091522734,0.249561450619179,0,-0.426447656517814
-348.719606757326,0.0288215872692389,0.00815487610793406,-0.294193362590187,0.249554936107592,0,-0.426421392647168
-345.654187682529,0.0284005632440118,0.00800594529662251,-0.2982742004738,0.249548313559148,0,-0.426394890028359
-342.402184109324,0.0280398301025666,0.00787711367696122,-0.302368554108431,0.249541753221175,0,-0.426368827765058
