Controller,IAE,ISE,ChatteringMetric,PeakControlEffort
PD / PD-F SMC,0.010681876279591,0.0002764564363528,552.522222622644,6.49519052838329
Surface S2,0.000344327461699167,4.32808804034524e-07,128.44635870493,6.34723467416276
Surface S1 + Sat,0.000309898730571148,2.85536811637197e-07,61.6508356868624,6.49519052838329
Surface S1 + DHRL,0.000343212307944288,3.16674243821985e-07,76.1013673322636,6.49519052838329
